City,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
Presidente Franco,-25.53,-54.62,71.02,78,100,5.82
Salinópolis,-0.61,-47.36,80.46,80,100,14.7
Homer,59.64,-151.55,58.14,58,1,10.29
Haldia,22.06,88.11,81.41,89,100,4.9
Wahiawā,21.5,-158.02,83.84,54,40,8.05
Pokosnoye,55.53,101.05,40.37,93,38,4.99
Talcahuano,-36.72,-73.12,64.4,59,0,17.22
La Asuncion,11.03,-63.86,83.66,77,0,13.31
Fonte Boa,-2.5,-66.27,75.38,96,99,7.61
Labuhan,-6.88,112.21,75.33,80,1,7.63
Pryazha,61.69,33.62,51.8,71,0,8.95
Wewak,-3.55,143.63,79.14,86,100,7.16
Petropavlovsk-Kamchatskiy,53.05,158.65,50.0,61,0,15.66
Goderich,43.75,-81.72,60.64,61,11,11.95
Faaborg,55.1,10.24,57.81,87,26,1.12
Atar,20.52,-13.05,103.03,15,93,8.81
San Nicolas,18.17,120.6,77.0,94,40,3.36
Waingapu,-9.66,120.26,72.73,84,9,6.98
Umeå,63.83,20.26,44.6,75,1,8.05
Ati,13.22,18.34,78.03,78,89,11.05
Luk Pu,23.17,112.28,82.0,99,67,1.88
Whitehorse,60.72,-135.05,49.39,29,40,4.7
George Town,5.41,100.34,77.0,88,40,8.05
Glenwood Springs,39.55,-107.32,69.53,21,1,3.36
Jacareacanga,-6.22,-57.75,89.46,38,55,2.59
Medicine Hat,50.05,-110.67,55.4,66,90,9.17
Boguchany,58.38,97.45,43.92,91,21,2.33
Hwange,-18.37,26.5,66.31,33,0,2.71
Härnösand,62.63,17.94,49.08,87,96,3.36
Santarém,-2.44,-54.71,89.6,62,93,9.17
Isla Mujeres,21.23,-86.73,89.29,66,75,11.41
Chambersburg,39.94,-77.66,70.38,51,0,7.76
Rock Sound,24.9,-76.2,83.79,67,47,5.23
Jianhu,29.98,120.57,70.77,94,40,2.24
Tiksi,71.69,128.87,40.21,89,5,8.03
Kindu,-2.95,25.95,71.8,95,82,1.81
Bugojno,44.06,17.45,59.72,70,0,0.47
Talas,38.69,35.55,66.2,68,0,1.59
Eureka,40.8,-124.16,67.91,33,9,1.99
Dhidhdhoo,6.88,73.1,81.36,80,83,13.0
Krasnosel'kup,65.7,82.47,47.8,93,100,9.55
Galle,6.04,80.22,79.23,86,96,12.44
Poum,-20.23,164.02,73.51,74,1,13.47
Lorengau,-2.02,147.27,84.18,76,97,11.97
Babushkin,51.71,105.86,44.89,82,100,7.25
Piaseczno,52.08,21.02,60.93,100,41,3.29
Khovu-Aksy,51.13,93.6,37.2,76,4,2.46
Ifo,6.81,3.2,77.0,94,40,3.36
