City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
Pindiga,NG,9.98,10.93,72.18,94,88,10.45
Washington,US,47.5,-120.5,55.22,94,100,1.81
Maple Creek,CA,49.92,-109.48,64.81,43,87,15.17
Arrondissement de Saint-Jean-de-Maurienne,FR,45.17,6.58,48.0,97,100,2.93
Yulara,AU,-25.24,130.99,80.6,10,0,5.82
Tautira,PF,-17.73,-149.15,80.29,69,20,4.7
Sterling,US,39.01,-77.43,58.84,87,75,4.03
Nezhinka,RU,51.77,55.37,53.6,58,0,6.71
Camalú,MX,30.85,-116.07,69.87,70,0,5.59
Penzance,GB,50.12,-5.54,50.43,76,40,14.99
Maraã,BR,-1.83,-65.37,73.71,96,100,1.59
Marawi,PH,8.0,124.29,84.99,78,94,11.99
Sukumo,JP,32.93,132.73,69.57,93,100,2.86
Nola,IT,40.92,14.53,65.55,93,20,2.24
Touros,BR,-5.2,-35.46,69.8,94,20,3.36
Qiongshan,CN,20.01,110.35,87.8,74,40,6.71
Barnsley,GB,53.55,-1.48,44.01,94,67,6.26
Torbay,CA,47.67,-52.73,60.04,87,75,25.28
Inírida,CO,3.87,-67.92,73.89,98,100,3.98
Meulaboh,ID,4.14,96.13,83.71,78,80,8.75
Balrāmpur,IN,27.43,82.18,74.73,94,100,13.87
Saint Anthony,US,45.02,-93.22,68.04,60,1,3.36
Dourbali,TD,11.81,15.86,76.69,73,93,12.3
Kirov,RU,58.6,49.66,47.8,73,7,4.54
Port Hardy,CA,50.7,-127.42,51.8,100,75,6.93
Gizo Government Station,SB,-8.1,156.84,83.71,70,54,4.88
Ankazoabo,MG,-22.28,44.52,80.01,33,0,4.16
Ayan,RU,56.45,138.17,52.9,82,1,11.45
Tombouctou,ML,20.0,-3.0,90.32,27,0,7.23
Bathsheba,BB,13.22,-59.52,84.2,79,20,9.17
Imeni Poliny Osipenko,RU,52.42,136.49,62.44,56,2,5.97
Kota Tinggi,MY,1.74,103.9,87.26,66,20,6.93
Leh,IN,34.17,77.58,56.23,31,0,4.79
Leningradskiy,RU,69.38,178.42,31.17,96,100,10.87
Lāsalgaon,IN,20.15,74.23,82.42,72,96,8.1
Jardim,BR,-21.48,-56.14,70.16,68,0,3.83
Chennai,IN,13.09,80.28,91.4,52,39,9.17
San Lazaro,BZ,18.04,-88.66,75.11,94,51,1.01
Lagunas,PE,-5.23,-75.68,71.62,86,6,2.26
Ratnagiri,IN,16.98,73.3,83.66,81,56,9.93
Pampas,PE,-12.4,-74.9,48.7,78,81,3.51
Ampanihy,MG,-24.7,44.75,69.37,53,0,13.65
Ordu,TR,40.91,37.68,71.6,88,40,3.36
Strandby,DK,57.49,10.5,59.0,92,62,8.01
Terra Santa,BR,-2.1,-56.49,75.22,79,0,1.59
Krasnosel'kup,RU,65.7,82.47,40.78,91,100,12.66
Lermontovka,RU,47.15,134.34,69.04,54,5,3.27
High Prairie,CA,55.43,-116.49,52.39,82,99,3.98
Hamilton,US,39.18,-84.53,60.53,87,1,2.66
Fare,PF,-16.7,-151.02,79.3,78,1,15.23
Khandyga,RU,62.67,135.6,57.52,40,0,2.15
Kavaratti,IN,10.57,72.64,84.2,79,40,11.41
Kiryat Gat,IL,31.61,34.76,75.38,73,55,2.53
Belaya Gora,RU,68.53,146.42,51.31,52,83,8.32
Tanout,NE,14.97,8.89,86.07,21,33,6.76
Rockingham,US,42.97,-71.1,56.25,83,0,5.66
Rokytne,UA,51.28,27.21,55.98,46,91,9.17
Hambantota,LK,6.12,81.12,87.8,70,75,10.29
Almansa,ES,38.87,-1.1,59.0,76,20,13.11
Vila,PT,42.03,-8.16,55.0,94,100,1.99
Port Blair,IN,11.67,92.75,86.0,74,75,4.7
Vestmannaeyjar,IS,63.44,-20.27,37.35,79,3,22.66
Buraidah,SA,26.33,43.98,84.2,26,0,5.82
Alofi,NU,-19.06,-169.92,75.2,83,5,9.17
Camaná,PE,-16.62,-72.71,61.5,75,13,7.23
Goundam,ML,16.41,-3.67,86.4,47,1,8.97
São Paulo de Olivença,BR,-3.38,-68.87,72.55,89,50,1.48
Byron Bay,AU,-28.65,153.62,73.13,35,0,13.87
Tuy Hoa,VN,13.08,109.3,87.96,67,55,6.15
Umm Hājar,TD,13.3,19.7,77.43,76,100,6.98
Chernyshevskiy,RU,63.01,112.47,56.07,45,21,10.42
Oranjemund,NA,-28.55,16.43,60.57,73,10,5.61
Riyadh,SA,24.69,46.72,86.0,10,0,8.05
Kingisepp,RU,59.37,28.61,59.43,82,25,6.4
Distrikt Brokopondo,SR,4.75,-55.17,78.53,82,19,9.78
Hvide Sande,DK,56.0,8.13,58.51,100,75,18.34
Morón,AR,-34.65,-58.62,59.72,74,26,4.47
Uglekamensk,RU,43.22,133.23,70.84,46,86,2.15
Tamasane,BW,-22.42,27.4,59.0,77,18,11.07
Waipawa,NZ,-41.41,175.52,57.25,77,9,23.04
Pacific Grove,US,36.62,-121.92,60.73,92,0,1.01
Diego de Almagro,CL,-26.37,-70.05,50.85,74,41,1.77
Kudahuvadhoo,MV,2.67,72.89,82.78,74,98,6.64
Along,IN,28.17,94.77,73.22,90,100,2.17
Coyhaique,CL,-45.58,-72.07,39.2,85,32,5.82
Peniche,PT,39.36,-9.38,64.67,90,100,1.01
Chabahar,IR,25.29,60.64,96.8,26,68,6.93
West Plains,US,36.73,-91.85,56.48,87,90,8.05
Carballo,ES,43.21,-8.69,54.3,93,20,8.05
Mirandela,PT,41.49,-7.19,53.01,86,100,2.21
Huanren,CN,41.26,125.37,68.97,64,100,0.72
Fairhope,US,30.52,-87.9,74.7,88,75,8.05
Mareeba,AU,-17.0,145.43,81.72,62,42,8.99
Mackay,AU,-21.15,149.2,75.42,73,75,13.87
Aitape,PG,-3.14,142.35,85.8,66,29,6.64
Sittwe,MM,20.15,92.9,85.87,74,81,7.16
Gold Coast,AU,-28.0,153.43,74.48,35,0,11.41
Taunsa,PK,30.7,70.65,102.54,11,0,1.66
Bowen,AU,-20.02,148.23,82.4,58,90,9.17
Grand Gaube,MU,-20.01,57.66,77.0,55,8,8.99
Saint-Louis,SN,16.33,-15.0,80.76,69,28,8.63
Rondonópolis,BR,-16.47,-54.64,77.86,63,9,2.3
Srandakan,ID,-7.94,110.25,85.06,61,64,12.84
Tarko-Sale,RU,64.92,77.78,39.99,92,100,11.36
Teya,RU,60.38,92.63,53.26,58,22,4.14
Maseru,LS,-29.32,27.48,63.77,28,0,4.5
Uberlândia,BR,-18.92,-48.28,64.4,88,77,9.17
Barrhead,GB,55.8,-4.39,33.78,100,20,1.12
